alpha,model,n_m,W_synth,W_truth,W_L,W_U,W_width,covered,Elo_width,abs_bias
0.05,model-61,4621,0.5741566083119128,0.5789872322008224,0.5701813785035795,0.5781318381202462,0.007950459616666627,False,5.648933434450557,0.004830623888909535
0.1,model-61,4621,0.5741566083119128,0.5789872322008224,0.5708204902914906,0.5774927263323351,0.006672236040844437,False,4.740701461903824,0.004830623888909535
0.15,model-61,4621,0.5741566083119128,0.5789872322008224,0.5712369279206166,0.577076288703209,0.0058393607825923954,False,4.148917823062436,0.004830623888909535
0.2,model-61,4621,0.5741566083119128,0.5789872322008224,0.5715573452517477,0.576755871372078,0.005198526120330227,False,3.6935893841164433,0.004830623888909535
0.5,model-61,4621,0.5741566083119128,0.5789872322008224,0.5727885975823566,0.5755246190414691,0.0027360214591125587,False,1.9439483861249442,0.004830623888909535
0.8,model-61,4621,0.5741566083119128,0.5789872322008224,0.5736427657289959,0.5746704508948298,0.001027685165833958,False,0.7301704966758539,0.004830623888909535
0.95,model-61,4621,0.5741566083119128,0.5789872322008224,0.574029425437722,0.5742837911861037,0.0002543657483817796,False,0.1807268437856821,0.004830623888909535
0.05,model-19,3770,0.4941264511882938,0.5,0.48931797560767437,0.4989349267689132,0.00961695116123884,False,6.683670590695461,0.0058735488117062085
0.1,model-19,3770,0.4941264511882938,0.5,0.49009105127213387,0.4981618511044537,0.008070799832319842,False,5.609062006047279,0.0058735488117062085
0.15,model-19,3770,0.4941264511882938,0.5,0.4905947781676974,0.49765812420889016,0.007063346041192742,False,4.9088746140137784,0.0058735488117062085
0.2,model-19,3770,0.4941264511882938,0.5,0.4909823580024836,0.497270544374104,0.00628818637162043,False,4.370140114965753,0.0058735488117062085
0.5,model-19,3770,0.4941264511882938,0.5,0.4924716924688589,0.49578120990772867,0.003309517438869758,False,2.300014049115877,0.0058735488117062085
0.8,model-19,3770,0.4941264511882938,0.5,0.4935049023392036,0.494748000037384,0.0012430976981804287,False,0.86391241349404,0.0058735488117062085
0.95,model-19,3770,0.4941264511882938,0.5,0.4939726095805614,0.4942802927960262,0.0003076832154648157,False,0.21382971027409464,0.0058735488117062085
0.05,claude-haiku-4-5-20251001,9373,0.46471950073647,0.4531099967993172,0.46149280861811426,0.46794619285482575,0.00645338423671149,False,4.506773045327064,0.01160950393715282
0.1,claude-haiku-4-5-20251001,9373,0.46471950073647,0.4531099967993172,0.4620115753481478,0.4674274261247922,0.005415850776644415,False,3.782187250888397,0.01160950393715282
0.15,claude-haiku-4-5-20251001,9373,0.46471950073647,0.4531099967993172,0.4623495975708809,0.4670894039020591,0.004739806331178209,False,3.3100603688470005,0.01160950393715282
0.2,claude-haiku-4-5-20251001,9373,0.46471950073647,0.4531099967993172,0.4626096801640376,0.4668293213089024,0.0042196411448648385,False,2.9467964944968674,0.01160950393715282
0.5,claude-haiku-4-5-20251001,9373,0.46471950073647,0.4531099967993172,0.4636090870870171,0.4658299143859229,0.0022208272989058253,False,1.5509132380309234,0.01160950393715282
0.8,claude-haiku-4-5-20251001,9373,0.46471950073647,0.4531099967993172,0.46430241495971863,0.4651365865132214,0.0008341715535027383,False,0.5825422953951747,0.01160950393715282
0.95,claude-haiku-4-5-20251001,9373,0.46471950073647,0.4531099967993172,0.46461626645882365,0.46482273501411636,0.0002064685552927159,False,0.1441869346604943,0.01160950393715282
0.05,claude-opus-4-5-20251101,9385,0.5297027256859452,0.5285029302077784,0.5265797501813142,0.5328257011905763,0.006245951009262063,True,4.355559537577929,0.001199795478166843
0.1,claude-opus-4-5-20251101,9385,0.5297027256859452,0.5285029302077784,0.5270818420236985,0.532323609348192,0.005241767324493551,True,3.65528648530607,0.001199795478166843
0.15,claude-opus-4-5-20251101,9385,0.5297027256859452,0.5285029302077784,0.5274089990882387,0.5319964522836518,0.004587453195413094,True,3.199001031864623,0.001199795478166843
0.2,claude-opus-4-5-20251101,9385,0.5297027256859452,0.5285029302077784,0.5276607217620535,0.531744729609837,0.004084007847783511,True,2.8479257254327863,0.001199795478166843
0.5,claude-opus-4-5-20251101,9385,0.5297027256859452,0.5285029302077784,0.5286280044234107,0.5307774469484797,0.0021494425250689897,False,1.4988775358091062,0.001199795478166843
0.8,claude-opus-4-5-20251101,9385,0.5297027256859452,0.5285029302077784,0.5292990464329063,0.5301064049389842,0.0008073585060779376,False,0.5629970956894361,0.001199795478166843
0.95,claude-opus-4-5-20251101,9385,0.5297027256859452,0.5285029302077784,0.5296028097012456,0.5298026416706448,0.00019983196939921122,False,0.1393492410077896,0.001199795478166843
0.05,claude-opus-4-6,9281,0.5804103118915575,0.5888912832668893,0.57736068513049,0.5834599386526249,0.0060992535221349176,False,4.350780543904503,0.00848097137533188
0.1,claude-opus-4-6,9281,0.5804103118915575,0.5888912832668893,0.5778509844353608,0.5829696393477541,0.005118654912393383,False,3.6512749290207114,0.00848097137533188
0.15,claude-opus-4-6,9281,0.5804103118915575,0.5888912832668893,0.5781704576229072,0.5826501661602077,0.0044797085373005086,False,3.195489787828059,0.00848097137533188
0.2,claude-opus-4-6,9281,0.5804103118915575,0.5888912832668893,0.5784162681332025,0.5824043556499124,0.003988087516709982,False,2.8447995544026905,0.00848097137533188
0.5,claude-opus-4-6,9281,0.5804103118915575,0.5888912832668893,0.5793608324069911,0.5814597913761238,0.0020989589691327026,False,1.4972318245913632,0.00848097137533188
0.8,claude-opus-4-6,9281,0.5804103118915575,0.5888912832668893,0.58001611377789,0.5808045100052249,0.0007883962273349532,False,0.5623788976065773,0.00848097137533188
0.95,claude-opus-4-6,9281,0.5804103118915575,0.5888912832668893,0.5803127426149665,0.5805078811681484,0.0001951385531819838,False,0.13919622694281503,0.00848097137533188
0.05,claude-opus-4-6-thinking,8764,0.5892312772878062,0.596816522136011,0.5861973772640748,0.5922651773115376,0.006067800047462768,False,4.355105040269422,0.007585244848204775
0.1,claude-opus-4-6-thinking,8764,0.5892312772878062,0.596816522136011,0.586685148125635,0.5917774064499775,0.005092258324342458,False,3.654903861268866,0.007585244848204775
0.15,claude-opus-4-6-thinking,8764,0.5892312772878062,0.596816522136011,0.5870029738096343,0.5914595807659782,0.004456606956343867,False,3.198665585191783,0.007585244848204775
0.2,claude-opus-4-6-thinking,8764,0.5892312772878062,0.596816522136011,0.587247516690271,0.5912150378853415,0.003967521195070489,False,2.8476267388351175,0.007585244848204775
0.5,claude-opus-4-6-thinking,8764,0.5892312772878062,0.596816522136011,0.5881872099042891,0.5902753446713234,0.0020881347670342887,False,1.4987196635932287,0.007585244848204775
0.8,claude-opus-4-6-thinking,8764,0.5892312772878062,0.596816522136011,0.5888391120295265,0.5896234425460859,0.0007843305165593506,False,0.5629377333764372,0.007585244848204775
0.95,claude-opus-4-6-thinking,8764,0.5892312772878062,0.596816522136011,0.5891342111699639,0.5893283434056485,0.000194132235684652,False,0.13933454562369652,0.007585244848204775
0.05,claude-opus-4-7,9552,0.5626471824514869,0.5681009212730318,0.559794327000861,0.5655000379021129,0.005705710901251937,False,4.0280150259113645,0.0054537388215448734
0.1,claude-opus-4-7,9552,0.5626471824514869,0.5681009212730318,0.5602529906846256,0.5650413742183482,0.004788383533722573,False,3.3804050478782144,0.0054537388215448734
0.15,claude-opus-4-7,9552,0.5626471824514869,0.5681009212730318,0.5605518504782425,0.5647425144247313,0.004190663946488815,False,2.9584334814866224,0.0054537388215448734
0.2,claude-opus-4-7,9552,0.5626471824514869,0.5681009212730318,0.5607818005374003,0.5645125643655735,0.003730763828173167,False,2.63375977552215,0.0054537388215448734
0.5,claude-opus-4-7,9552,0.5626471824514869,0.5681009212730318,0.5616654186153062,0.5636289462876677,0.0019635276723615203,False,1.38616157215111,0.0054537388215448734
0.8,claude-opus-4-7,9552,0.5626471824514869,0.5681009212730318,0.5622784192141099,0.5630159456888639,0.0007375264747540022,False,0.5206596538035423,0.0054537388215448734
0.95,claude-opus-4-7,9552,0.5626471824514869,0.5681009212730318,0.562555908645102,0.5627384562578719,0.00018254761276992326,False,0.12887016620691033,0.0054537388215448734
0.05,claude-opus-4-7-thinking,9533,0.5666995841570827,0.5697576838350992,0.5638322755794949,0.5695668927346704,0.0057346171551755365,False,4.0570646725479,0.0030580996780165126
0.1,claude-opus-4-7-thinking,9533,0.5666995841570827,0.5697576838350992,0.5642932629437155,0.5691059053704498,0.004812642426734293,False,3.4047839524039665,0.0030580996780165126
